"ToiletID","URL","Name","Address1","Town","State","Postcode","AddressNote","Male","Female","Unisex","FacilityType","ToiletType","AccessLimited","PaymentRequired","KeyRequired","AccessNote","Parking","ParkingNote","AccessibleMale","AccessibleFemale","AccessibleUnisex","AccessibleNote","MLAK","ParkingAccessible","AccessibleParkingNote","IsOpen","OpeningHoursSchedule","OpeningHoursNote","BabyChange","Showers","DrinkingWater","SharpsDisposal","SanitaryDisposal","IconURL","IconAltText","Notes","Status","Latitude","Longitude"
"1","https://toiletmap.gov.au/toilet/1","Sandy Beach Reserve","West Road","Bassendean","Western Australia","6054","","True","True","False","Park or reserve","","False","False","False","","False","","True","True","False","","False","False","","AllHours","","","False","True","False","True","False","https://toiletmap.gov.au/images/icons/mfa.png","Male and Female, or Unisex (Accessible)","","Verified","-31.92183600","115.95020622"
"2","https://toiletmap.gov.au/toilet/2","Point Reserve","North Road","Bassendean","Western Australia","6054","","True","True","False","Park or reserve","","False","False","False","","False","","True","True","False","","False","False","","DaylightHours","","","False","False","False","False","False","https://toiletmap.gov.au/images/icons/mfa.png","Male and Female, or Unisex (Accessible)","","Verified","-31.90441010","115.96099110"
"3","https://toiletmap.gov.au/toilet/3","Success Hill Reserve","Off Seventh Avenue","Bassendean","Western Australia","6054","","True","True","False","Park or reserve","","False","False","False","","True","","True","True","False","","False","True","","DaylightHours","","","True","True","True","True","False","https://toiletmap.gov.au/images/icons/mfa.png","Male and Female, or Unisex (Accessible)","","Verified","-31.89628865","115.95578101"
"4","https://toiletmap.gov.au/toilet/4","Jubilee Reserve","Robinson Road","Eden Hill","Western Australia","6054","","True","True","False","Park or reserve","Sewerage","False","False","False","","False","","False","False","False","","False","False","","DaylightHours","","","False","False","False","True","False","https://toiletmap.gov.au/images/icons/mf.png","Male and Female, or Unisex","","Verified","-31.89147400","115.94016370"
"5","https://toiletmap.gov.au/toilet/5","Ashfield Reserve","Guildford Road","Ashfield","Western Australia","6054","","True","True","False","Park or reserve","","False","False","False","","True","","False","False","False","","False","True","","DaylightHours","","","False","False","False","True","False","https://toiletmap.gov.au/images/icons/mf.png","Male and Female, or Unisex","","Verified","-31.91343349","115.93647720"
"6","https://toiletmap.gov.au/toilet/6","Old Perth Road & James Street","Corner of Old Perth Road & James Street","Bassendean","Western Australia","6054","","True","True","False","","","False","False","False","","False","","True","True","False","","False","False","","DaylightHours","","","False","False","False","False","False","https://toiletmap.gov.au/images/icons/mfa.png","Male and Female, or Unisex (Accessible)","","Verified","-31.90444241","115.95001970"
"7","https://toiletmap.gov.au/toilet/7","Mary Crescent Reserve","Mary Crescent","Eden Hill","Western Australia","6054","","True","True","False","Park or reserve","","False","False","False","","True","","False","False","False","","False","True","","DaylightHours","","","True","False","False","False","False","https://toiletmap.gov.au/images/icons/mf.png","Male and Female, or Unisex","","Verified","-31.89036599","115.94808970"
"9","https://toiletmap.gov.au/toilet/9","Bassendean Oval 3","Old Perth Road","Bassendean","Western Australia","6054","","True","True","False","Sporting facility","","False","False","False","","False","","True","True","False","","False","False","","Variable","","","False","False","False","False","False","https://toiletmap.gov.au/images/icons/mfa.png","Male and Female, or Unisex (Accessible)","","Verified","-31.90371581","115.95649020"
"15","https://toiletmap.gov.au/toilet/15","Apex Park, Moranbah Access Road","Goonyella Road","Moranbah","Queensland","4744","","True","True","False","Park or reserve","Sewerage","False","False","False","","True","","False","False","False","","False","False","","AllHours","","","False","False","False","False","False","https://toiletmap.gov.au/images/icons/mf.png","Male and Female, or Unisex","","Verified","-22.01444418","148.04524183"
"16","https://toiletmap.gov.au/toilet/16","Lions Park, Belyando Avenue","12 Belyando Avenue","Moranbah","Queensland","4744","","True","True","False","Park or reserve","Sewerage","False","False","False","","True","Parking is available on Belyando Avenue, then a short walk into the park to access the toilet","False","False","False","","False","False","Parking is available on Belyando Avenue, then a short walk into the park to access the toilet","AllHours","","","False","False","False","False","False","https://toiletmap.gov.au/images/icons/mf.png","Male and Female, or Unisex","","Verified","-21.99934080","148.04397329"
"17","https://toiletmap.gov.au/toilet/17","Parella Street","Parella Street","Moranbah","Queensland","4744","","False","False","False","Park or reserve","Sewerage","False","False","False","","True","","True","True","False","","False","False","","AllHours","","","False","True","False","False","False","https://toiletmap.gov.au/images/icons/mfa.png","Male and Female, or Unisex (Accessible)","","Verified","-22.00015250","148.04861593"
"18","https://toiletmap.gov.au/toilet/18","Nolan Park","Yeates Street","Moranbah","Queensland","4744","","False","False","True","Park or reserve","Sewerage","False","False","False","","True","On street parking available","False","False","False","","False","False","On street parking available","AllHours","","","False","False","False","False","False","https://toiletmap.gov.au/images/icons/mf.png","Male and Female, or Unisex","","Verified","-22.00330089","148.06611840"
"20","https://toiletmap.gov.au/toilet/20","Binda Park","Grosvenor Drive","Moranbah","Queensland","4744","Toilet is located at the far end of the park, near Grosvenor Drive","False","False","False","Park or reserve","Sewerage","False","False","False","","True","Parking is available at the other end of the park from Isaac Way, heading towards Goonyella Road","False","False","True","","False","False","Parking is available at the other end of the park from Isaac Way, heading towards Goonyella Road","AllHours","Mon-Fri 7am-3pm","","True","False","False","False","False","https://toiletmap.gov.au/images/icons/mfa.png","Male and Female, or Unisex (Accessible)","","Verified","-22.00475579","148.03688242"
"21","https://toiletmap.gov.au/toilet/21","Samson Street, Spring Park","Samson Street","Clermont","Queensland","4721","","True","True","False","Park or reserve","Sewerage","False","False","False","","False","","False","False","False","","False","False","","AllHours","","","False","False","False","False","False","https://toiletmap.gov.au/images/icons/mf.png","Male and Female, or Unisex","","Verified","-22.83395213","147.62810990"
"22","https://toiletmap.gov.au/toilet/22","Copperfield Road, Lions Park","Copperfield Road","Clermont","Queensland","4721","","True","True","False","Park or reserve","Sewerage","False","False","False","","False","","False","False","False","","False","False","","AllHours","","","False","False","False","False","False","https://toiletmap.gov.au/images/icons/mf.png","Male and Female, or Unisex","","Verified","-22.83004599","147.62808680"
"23","https://toiletmap.gov.au/toilet/23","Drummond Street","Drummond Street","Clermont","Queensland","4721","","True","True","False","","","False","False","False","","False","","False","False","False","","False","False","","AllHours","","","False","False","False","False","False","https://toiletmap.gov.au/images/icons/mf.png","Male and Female, or Unisex","","Verified","-22.81719492","147.64230120"
"24","https://toiletmap.gov.au/toilet/24","Lime Street, Centenary Park","Lime Street","Clermont","Queensland","4721","","True","True","False","Park or reserve","Sewerage","False","False","False","","False","","False","False","False","","False","False","","AllHours","","","False","False","False","False","False","https://toiletmap.gov.au/images/icons/mf.png","Male and Female, or Unisex","","Verified","-22.81837370","147.64170020"
"25","https://toiletmap.gov.au/toilet/25","Capella Street","Capella Street","Clermont","Queensland","4721","","True","True","False","","","False","False","False","","False","","False","False","False","","False","False","","AllHours","","","False","False","False","False","False","https://toiletmap.gov.au/images/icons/mf.png","Male and Female, or Unisex","","Verified","-22.82389777","147.64100690"
